id,old_model_prediction,new_model_prediction,models_match
001,1,1,True
002,1,1,True
003,1,1,True
004,1,1,True
005,1,1,True
006,1,1,True
007,1,1,True
008,1,1,True
009,1,1,True
010,1,1,True
011,1,1,True
012,1,1,True
013,1,1,True
014,1,1,True
015,1,1,True
016,1,1,True
017,1,1,True
018,1,1,True
019,1,1,True
020,1,1,True
021,1,1,True
022,1,1,True
023,1,1,True
024,1,1,True
025,1,1,True
026,1,1,True
027,1,1,True
028,1,1,True
029,1,1,True
030,1,1,True
031,1,1,True
032,1,1,True
033,1,1,True
034,1,1,True
035,1,1,True
036,1,1,True
037,1,1,True
038,1,1,True
039,1,1,True
040,1,1,True
041,1,1,True
042,1,1,True
043,1,1,True
044,1,1,True
045,1,1,True
046,1,1,True
047,1,1,True
048,1,1,True
049,1,1,True
050,1,1,True
051,2,2,True
052,2,2,True
053,2,2,True
054,2,2,True
055,2,2,True
056,2,2,True
057,2,2,True
058,2,2,True
059,2,2,True
060,2,2,True
061,2,2,True
062,2,2,True
063,2,2,True
064,2,2,True
065,2,2,True
066,2,2,True
067,2,2,True
068,2,2,True
069,2,2,True
070,2,2,True
071,2,2,True
072,2,2,True
073,2,2,True
074,2,2,True
075,2,2,True
076,2,2,True
077,2,2,True
078,2,2,True
079,2,2,True
080,2,2,True
081,2,2,True
082,2,2,True
083,2,2,True
084,2,2,True
085,2,2,True
086,2,2,True
087,2,2,True
088,2,2,True
089,2,2,True
090,2,2,True
091,2,2,True
092,2,2,True
093,2,2,True
094,2,2,True
095,2,2,True
096,2,2,True
097,2,2,True
098,2,2,True
099,2,2,True
100,2,2,True
101,3,3,True
102,3,3,True
103,3,3,True
104,3,3,True
105,3,3,True
106,3,3,True
107,3,3,True
108,3,3,True
109,3,3,True
110,3,3,True
111,3,3,True
112,3,3,True
113,3,3,True
114,3,3,True
115,3,3,True
116,3,3,True
117,3,3,True
118,3,3,True
119,3,3,True
120,3,3,True
121,3,3,True
122,3,3,True
123,3,3,True
124,3,3,True
125,3,3,True
126,3,3,True
127,3,3,True
128,3,3,True
129,3,3,True
130,3,3,True
131,3,3,True
132,3,3,True
133,3,3,True
134,3,3,True
135,3,3,True
136,3,3,True
137,3,3,True
138,3,3,True
139,3,3,True
140,3,3,True
141,3,3,True
142,3,3,True
143,3,3,True
144,3,3,True
145,3,3,True
146,3,3,True
147,3,3,True
148,3,3,True
149,3,3,True
150,3,3,True
151,0,0,True
152,0,0,True
153,0,0,True
154,0,0,True
155,0,0,True
156,0,0,True
157,0,0,True
158,0,0,True
159,0,0,True
160,0,0,True
161,0,0,True
162,0,0,True
163,0,0,True
164,0,0,True
165,0,0,True
166,0,0,True
167,0,0,True
168,0,0,True
169,0,0,True
170,0,0,True
171,0,0,True
172,0,0,True
173,0,0,True
174,0,0,True
175,0,0,True
176,0,0,True
177,0,0,True
178,0,0,True
179,0,0,True
180,0,0,True
181,0,0,True
182,0,0,True
183,0,0,True
184,0,0,True
185,0,0,True
186,0,0,True
187,0,0,True
188,0,0,True
189,0,0,True
190,0,0,True
191,0,0,True
192,0,0,True
193,0,0,True
194,0,0,True
195,0,0,True
196,0,0,True
197,0,0,True
198,0,0,True
199,0,0,True
200,0,0,True
